ACCOUNT_ID,SALESFORCE_ACCOUNT_ID,OVERRIDE_SFDC_ACCOUNT_ID,CLOUD_ACCOUNT_NAME,SALESFORCE_ACCOUNT_NAME,OVERRIDE_SFDC_ACCOUNT_NAME,BILLING_EMAIL_DOMAIN,EMAIL_DOMAIN,DATABASE_TYPE,DATABASE_SOURCE,IS_ACCOUNT_OVERRIDE,IS_BILLING_DOMAIN,IS_MANAGED_CUSTOMER,COUNT_OF_USERS,ACCOUNT_LEVEL_IS_MANAGED_CUSTOMER,ACCOUNT_LEVEL_BILLING_DOMAIN_MATCH,ACCOUNT_LEVEL_BUSINESS_DOMAIN_USERS,ACCOUNT_LEVEL_PARTNER_DOMAIN_USERS,ACCOUNT_LEVEL_INTERNAL_DOMAIN_USERS,ACCOUNT_LEVEL_CONSUMER_DOMAIN_USERS,BUSINESS_DOMAIN_RANK,PARTNER_DOMAIN_RANK,INTERNAL_DOMAIN_RANK,CONSUMER_DOMAIN_RANK,COUNT_OF_LEADING_BUSINESS_DOMAINS,COUNT_OF_LEADING_PARTNER_DOMAINS,COUNT_OF_LEADING_INTERNAL_DOMAINS,COUNT_OF_LEADING_CONSUMER_DOMAINS,COUNT_OF_BUSINESS_DOMAIN_USERS,COUNT_OF_PARTNER_DOMAIN_USERS,COUNT_OF_INTERNAL_DOMAIN_USERS,COUNT_OF_CONSUMER_DOMAIN_USERS,BUSINESS_DOMAIN_CREATED_AT_RANK,PARTNER_DOMAIN_CREATED_AT_RANK,INTERNAL_DOMAIN_CREATED_AT_RANK,CONSUMER_DOMAIN_CREATED_AT_RANK,LAST_LICENSE_CREATED_AT
1,0014v00002NCM0kAAH,0016g00000UFtwRAAT,ShippingEasy,Auctane,ShipStation,shippingeasy.com,auctane.com,multi-tenant,cloud,True,False,False,36,False,False,39,0,0,0,1.0,null,null,null,1,0,0,0,36,0,0,0,1.0,null,null,null,2022-11-30T10:28:12.040579Z
1,0014v00002SMM4eAAH,0016g00000UFtwRAAT,ShippingEasy,Empirical Root,ShipStation,shippingeasy.com,empiricalroot.com,multi-tenant,cloud,True,False,False,1,False,False,39,0,0,0,3.0,null,null,null,1,0,0,0,1,0,0,0,3.0,null,null,null,2022-05-04T20:43:40.651591Z
1,0014v00002UjYolAAF,0016g00000UFtwRAAT,ShippingEasy,Packlink — Simply Shipping,ShipStation,shippingeasy.com,packlink.com,multi-tenant,cloud,True,False,False,2,False,False,39,0,0,0,2.0,null,null,null,1,0,0,0,2,0,0,0,2.0,null,null,null,2022-02-09T09:46:20.128207Z
2,null,null,CIO,null,null,null,null,single-tenant,virginmedia_prod,False,False,null,1,False,False,8,0,0,0,2.0,null,null,null,1,0,0,0,0,0,0,0,2.0,null,null,null,2022-08-11T13:37:32.523753Z
2,0014v00002Y9AdDAAV,null,CIO,Virgin Media O2,null,null,virginmediao2.co.uk,single-tenant,virginmedia_prod,False,False,False,8,False,False,8,0,0,0,1.0,null,null,null,1,0,0,0,8,0,0,0,1.0,null,null,null,2022-09-02T09:47:03.252367Z
3,0014v00002Ziqi2AAB,null,Sunrun - Enterprise,SnapNrack,null,null,snapnrack.com,multi-tenant,cloud,False,False,False,2,True,False,86,0,0,0,2.0,null,null,null,1,0,0,0,2,0,0,0,2.0,null,null,null,2022-10-25T17:30:14.276255Z
3,0014v00002IdrwMAAR,null,Sunrun - Enterprise,Sunrun Inc.,null,null,sunrun.com,multi-tenant,cloud,False,False,True,84,True,False,86,0,0,0,1.0,null,null,null,1,0,0,0,84,0,0,0,1.0,null,null,null,2023-01-06T19:53:16.88475Z
3,null,null,Sunrun - Enterprise,null,null,null,null,multi-tenant,cloud,False,False,null,1,True,False,86,0,0,0,null,null,null,null,1,0,0,0,0,0,0,0,null,null,null,null,2023-01-25T15:26:23.59628Z
4,0014v00002ZirDVAAZ,null,Vlaams Agentschap Zorg & Gezondheid,Cloubis NV,null,spendesk.com,cloubis.be,multi-tenant,cloud,False,False,False,1,False,False,24,9,0,0,3.0,2.0,null,null,1,1,0,0,0,1,0,0,5.0,3.0,null,null,2022-03-01T13:27:16.528511Z
4,0014v00002KwabUAAR,null,Vlaams Agentschap Zorg & Gezondheid,KPMG Australia,null,spendesk.com,kpmg.com,multi-tenant,cloud,False,False,False,1,False,False,24,9,0,0,3.0,2.0,null,null,1,1,0,0,0,1,0,0,4.0,2.0,null,null,2021-08-12T06:43:21.813139Z
