QUICKBOOKS_CUSTOMER_ID, ACCOUNT_ID, CUSTOMER_NAME, SALESFORCE_ACCOUNT_ID
cd125af41225e255574c9d3a68866f28,7971,"14 W Administrative Services LLC",0016g00000pI6NqAAK
b582cfb0be9f21f5687a46377d9234c2,9729,"24 Hour Fitness USA, LLC.",0014v00002IcGUiAAN
fdc90cd0354b67e750e40d44f2f742c0,15352,"Allurion Technologies, Inc.",0014v00002KwdtIAAR
cus_IZYLN8JcOkmyaq,10593,"Andersen Windows - Enterprise",0014v00002IchPDAAZ
d720ceb08470075250e7af875cfc76d0,13768,"Aurora Solar",0014v00002KvhxKAAR
f07b52115f7e11006b72345226ad2a86,14967,"Avid Technology, Inc",0014v00002KvjSeAAJ
8c0e908ee5376b2cbfe27fb54bb8c4b1,4651,"BANKAYA",0016g00000OmPM1AAN
cus_H1n1korKsHfvgr,3747,"BambooHR",0016g00000KLY3dAAH
a95c62f83711982dd2cd3260f3d4e2ec,1772,"BetterUp, Inc",0016g00000IfKmZAAV
f3fa24547e021bc72f7c1f830556429d,8243,"Blucora, Inc.",0016g00000twMN8AAM
7d6a5d40e45a0743990fe3691146cfec,6352,"Boston Consulting Group",0016g00000JE3afAAD
d58f894a301ce5400f0f86e9cb68407b,18643,"Brightline, Inc.",0014v00002NBKXdAAP
1951060b98237813055cc1901564405b,7114,"Buildscale, Inc.",0016g00000pIy5WAAS
13b5410cd6bf32106f28758fc20d82b8,11870,"C.H. Robinson Worldwide, Inc",0014v00002Icj2hAAB
c9b65b106859b0df02173681aa83fdb6,16428,"C2FO",0014v00002Kvfp9AAB
ebf063837cc6f226f05b87ff701a2115,3186,"Calix",0016g00000If5bpAAB
6114cb80a68cc646b349aca51c00fb85,6002,"Carousel Industries",0014v00002IceFAAAZ
43381b6fe9697a251b8615ea6965a062,805,"Chesapeake Energy",0016g00000EEKF5AAP
cus_IK8O9JqPzjrOwC,8103,"ChowNow",0014v00002IdoPLAAZ
2492a53ca11952c4fb65d6227bd35dc3,17124,"CircleCI",0014v00002KvzamAAB
e2529ad517336058e0024eae91e0e1cb,19030,"Cisco Systems, Inc",0016g00000FWcWDAA1
0517fb29c3e1861a676c64a5793632a3,3686,"City and County of San Francisco",0014v00002NsPhgAAF
50fa6924bf5e3cb53f42965fa666ae56,13534,"Conde Nast",0016g00000UHvqPAAT
cus_GsvJl993h56fbI,3436,"ConstructConnect.com",0016g00000FVwyOAAT
ad8c02c51263b18f17e1453f628e2500,8168,"CreditNinja",0014v00002IcESIAA3
62340c866a27f864ba50b1e7456c5080,6544,"Cruise",0016g00000bFf8sAAC
13a026a3aa43b191a8110d08cb265828,1992,"Culture Amp",0016g00000IfKmsAAF
4f9f44a28c90a4adc3592cec9e79ce22,8754,"Discovery Healthcare Consulting Group",0014v00002IcDsoAAF
da0f89d297137d87c76949a76d358236,7108,"Domain Holdings Australia Limited",0016g00000gYPaXAAW
73b2cb48a10e744ec1548e78d9ca08de,7195,"Dunelm (Soft Furnishings) Ltd.",0016g00000PRLvfAAH
e565e458e775e60b163b2abd2cd17000,7645,"EQRx, Inc.",0016g00000MCjE4AAL
877c811b1f7a55b4eabcc472834f5a9d,18748,"EQT AB",0014v00002NBIUVAA5
0ddbe74a963f9a2b84fc910f5fa85729,17413,"Ethos Technologies, Inc",0014v00002Kw0cYAAR
90a4a08a05b2f4c258331bcf508b8324,16048,"EyeBuyDirect, Inc.",0014v00002KwSZ3AAN
938e3857dc0b65362334ca9e5f96169a,20990,"Field Trip Health Ltd",0014v00002NsapTAAR
cus_H1zFshgBkiGqUZ,3755,"Firefly Health",0016g00000KLWrPAAX
85fc89e04e7dcc11958f73e015623c7b,4094,"Foxcorp Holdings LLC",0016g00000KNSzYAAX
c46f8c57f70f8bd0ca5b3abec66ac1ba,15239,"GalaxyOne Company Limited",0014v00002KwT8pAAF
43ea0189a45091ff74e812de73315399,15192,"Harris Computer Corp.",0014v00002KvwuCAAR
cus_GgiO8a75rFlHOa,2895,"Honey Science",0016g00000JffRzAAJ
2d47bc10393afa276bebae62585f0182,19630,"HubSpot, Inc.",0016g00000eSVAgAAO
f77b877d18fab0d6ba1f01da8f2c5533,1644,"JetBlue Airways Corporation",0016g00000FZ7biAAD
c90d68373db6e120e40d9fe4936f7290,19681,"John Lewis Partnership",0014v00002Ictk4AAB
172dabc3aaaad5a37485bbd910ebc783,10548,"Kuda Technologies Ltd",0014v00002IcfjZAAR
8765288a1664286255e7aadd539a527e,11942,"LendingTree, LLC",0014v00002IdoUGAAZ
8f9b9a1e1e11ad92c32fe69169cc8c95,6044,"Lightricks",0016g00000Pth9QAAR
f8b2b05892540223725d14e93f8e5fae,20478,"LogDNA, Inc",0014v00002NsTMWAA3
9f20ab59abb975b49e2404e6670d10dc,6198,"Lucerna Health LLC",0016g00000SxPE8AAN
01f5227861f29c75102fa9b3e6a16f01,16228,"ManpowerGroup Global Inc.",0014v00002Icfk8AAB
25971f6b60c7c33b721878a58bbdb52f,8683,"Ministry of Health New Zealand",0016g00000pIwX3AAK
5b4c55d007b0cbc6bcf310a43b1f26e8,10097,"Mr. Price Group",0014v00002IcKOrAAN
5eb80dcb7fe63bb653dc38d48565f978,10626,"NICE Ltd",0016g00000PRzYjAAL
124b237dca400e9427b4cd644562f023,15802,"NRW Holdings Limited",0014v00002KwBq6AAF
6348b955ee16ef9ca32f8d3abc2d14f4,11048,"NZXT, Inc.",0014v00002Ico8wAAB
46d4dea99a563f438fdf83a115c7ef16,19816,"Netskope, Inc",0014v00002NCcaWAAT
cus_ISIljEfbF7TPzk,9199,"Olo",0016g00000tuVzmAAE
624786675fa1505881975f9022347e7f,2162,"Opencare",0016g00000IfKn7AAF
523798cc8eca1b907262dcf723d2d4c0,11164,"PPD Development, L.P.",0014v00002IcQDbAAN
86539bda565bc1ba8cb27ad05432d5ef,15643,"Panther Labs Inc.",0014v00002OxA8uAAF
0c7e7203da0dd43267961e5ce6a4aa3a,7939,"Prosper Marketplace, Inc.",0016g00000pI5eDAAS
dff67597fd60fea0874ab953b98b4e64,20794,"Public Storage, Inc.",0016g00000bFgF1AAK
cus_ByroN3UtZalexg,88,"RealSelf",0016g00000IfKmYAAV
0e504f16e3fbed6a9ec6ac84ab05029e,19884,"Rivian Automotive, LLC",0014v00002IccMVAAZ
9548988970817492d110597b52ac3958,10869,"Rocket Software, Inc",0016g00000twBXTAA2
5ac902e6b68ed39061654d9e29bceb69,3790,"STRIDE   (formerly K12 Inc)",0016g00000FYiKAAA1
0801b97d4a91dacaae24d80b604fcc34,6107,"SafetyCulture Pty Ltd",0014v00002NBhb8AAD
0144175eda7abf23a5e283ded2ac099f,4534,"Scale AI, Inc",0016g00000FXKIJAA5
495fc0acf4d73649dcdedaa41bde6044,9790,"Scentre Limited",0014v00002Id2ZeAAJ
623d69ce940ea69c6ea1e0d113b37401,7817,"Seismic Software, Inc.",0014v00002Id9ITAAZ
fd15542daf84efcee6bfa1c54e73fd47,5006,"ShipStation",0016g00000UFtwRAAT
cus_HOsWAmjd8o32PY,4896,"SlalomProd",0016g00000Jdh7jAAB
8b772ab5f41a2ab91c75497c40d8145d,2690,"SonderMind",0016g00000IfKmdAAF
0e9694921f94080a7549e5e6a42834f8,11461,"Stockpile Investments",0014v00002IcsEGAAZ
8c564f4e7c911810082f7d43507fee82,13885,"Sub-Zero Group, Inc.",0014v00002IcreCAAR
3b8291c365803441d52a314ab1d0fda8,12102,"Supermetrics Oy",0014v00002IdDYmAAN
de21053825c8e903da0026b7ff2fa539,6827,"Symend Inc",0016g00000Zf45UAAR
54c1113da3a6fed7e68db695bb7354fb,12800,"The Dining Club Group",0014v00002Id6oCAAR
2179291215fb7e7c1ea6af755d147dcb,9157,"The RealReal, Inc",0016g00000h0Vp5AAE
ad17aec368b4f57b53ee8393341b3af3,18834,"Thumbtack, Inc.",0014v00002KvLeIAAV
cus_GGP5c177nPHVUR,2233,"Trustpower",0016g00000eQEi4AAG
7077b33c151b366c46ed2892c149c3fd,2549,"USAA",0016g00000EE75lAAD
5a3a9bf0aebc1e136aa891e417ad0894,5536,"Under Armour, Inc",0016g00000SwLjgAAF
da4239199a006ac638a35c02e0dc4c7f,4525,"Verily",0016g00000NuZ5rAAF
d951495d3acf33ba391c28097910a0d2,18826,"Vimeo.com, Inc",0014v00002IdpLyAAJ
f4249dfc6365369203ca65640fa8eeb0,12953,"Vital Software",0014v00002Idr0wAAB
4666edbbecf5515ab4103d68bc8735e9,7100,"Wondr Health",0016g00000VVLXiAAP
e53b378896feb5e3d6858692843a8d28,14526,"American Tire Distributors",0014v00002KsfenAAB
5d412579bcbf7e184f7df38108a162a1,,"Blend",0016g00000EFCnXAAX
01513bddb8020cc6a2fb1d630d01998b,,"CONA",0016g00000FXHTdAAP
ce5334c863643da6ca66be9cdd71436b,,"Cambia Health Solutions Inc",0016g00000IemYSAAZ
94fe933672feeae7150c9c245bc8a394,16085,"Capital Integration Systems LLC",0014v00002Kvt9kAAB
9cab8a31a964417c942246b93a589971,22043,"Cardiovascular Systems, Inc.",0014v00002NsTUGAA3
9d8435580fa22903e236b65a320035de,,"Cengage Learning Inc.",0014v00002Id9l6AAB
45e217f31576e7f7773ed877273c9647,18705,"Chipotle Mexican Grill, Inc.",0016g00000tvHEnAAM
8c93c4b4952061cdacc8ce41466de27d,,"IntegraCloud, LLC",0016g00000YNBugAAH
e99c6d36135780386945bd3e5eec3ca7,,"Maven Clinic",0016g00000EEXw1AAH
d0da3f2e744e26bd9b3a9bcb727db7c5,,"Mirvac Procurement Pty Limited",0014v00002Kw2iYAAR
7991fbbde7200a6dff83b71bf5686c4c,,"Nasdaq, Inc.",0014v00002IdoCuAAJ
546551c43399cdc325c876da94d79507,22233,"Natera, Inc",0014v00002KvwEbAAJ
084b19e64b99589d5e8498945040424e,,"Not on the High Street",0016g00000Nvk8UAAR
3a0443ee9c2040d9c5a6764202ca4421,6500,"OM Fondation",0014v00002KwdfTAAR
6122c872360839bd92f7cf0b59454f56,,"Paxos Trust Company, LLC",0014v00002IcUaeAAF
53aa145deebae44b01b804a0dbf3062f,,"Peloton Interactive, Inc.",0016g00000MCj4gAAD
5c942eb170be599da9cc20011d694ff8,6402,"PeopleNet Communications Corporation",0014v00002IdCkEAAV
cus_Imwlr2Jf6edk02,11817,"StockX",0014v00002NBcGYAA1
c3a475c993daa2772d5c665636caf96a,,"Taxfix GmbH",0014v00002KwAjeAAF
32696876cfda184bba6eb8cddd0db7cd,,"Trustly",0014v00002KvE76AAF
738103b264c7eec94926336f156e5cbf,,"World Wrestling Entertainment, Inc.",0016g00000EEXvrAAH
