GITHUB_USERNAME,ENGINEERING_TEAM_NAME
aaronerickson-fa,Infrastructure
aaronraff,Platform
ajaythomas,Enterprise
ashnm,Metadata
breezyfasano,Frontend
brian-fa,Infrastructure
carusocv,Platform
cesher,Platform
ChenyuLInx,Core
danclair,Experience
davidharting,Experience
dbactual,Platform
dtardoin,Infrastructure
eiof,Experience
emmyoop,Core
GideonShils,Platform
girishrao,Metadata
gsass,Shipments
gshank,Core
heysweet,Experience
iknox-fa,Core
iktl,Platform
isaac-taylor,Experience
izakp,Infrastructure
JKarlavige,Frontend
jameskoll-dbt,Infrastructure
jgiuffrida,Platform
jzfraser,Experience
kaitlinr,Platform
klehmer,Infrastructure
knartovich,Shipments
kwigley,Core
laconc,Infrastructure
leahwicz,Core
lfracalossiFA,Frontend
McKnight-42,Core
naomiwritescode,Experience
nathaniel-may,Core
natty-li,Infrastructure
nave91,Shipments
parose,Platform
racheldaniel,Experience
ryancharris,Shipments
stu-k,Core
Topherhindman,Platform
tuckerrc,Experience
vadim82,Metadata
VersusFacit,Core
wendyvasq,Platform
wpowers-dbt,Metadata
ynambiar,Metadata
ericbaumann,Shipments
colin-rogers-dbt,Core
