question,score,response
responsiveness,1,Major Concern
responsiveness,2,Lacking
responsiveness,3,Proficient
responsiveness,4,Exceptional
account_project_setup,1,Major Concern
account_project_setup,2,Lacking
account_project_setup,3,Proficient
account_project_setup,4,Exceptional
preparedness,1,Not at all Prepared
preparedness,2,Somewhat Prepared
preparedness,3,Prepared
preparedness,4,Very Prepared
participation,1,No Participation
participation,2,Little Participation
participation,3,High Participation
participation,4,Very High Pariticipation
dbt_enthusiasm,1,Major Concern
dbt_enthusiasm,2,Lacking
dbt_enthusiasm,3,Proficient
dbt_enthusiasm,4,Exceptional
point_of_contact,1,Major Concern
point_of_contact,2,Lacking
point_of_contact,3,Proficient
point_of_contact,4,Exceptional
