date,description
10/3/2021,Labour Day
12/27/2021,Christmas Day (observed)
12/28/2021,Boxing Day (observed)
1/3/2022,New Years Day (observed)
1/26/2022,Australia Day
4/15/2022,Good Friday
4/18/2022,Easter Monday
4/25/2022,Anzac Day
6/13/2022,Queen's Birthday
9/22/2022,National Day of Mourning for Her Majesty The Queen
10/3/2022,Labour Day
12/26/2022,Boxing Day
12/27/2022,Christmas Day (Observed)
1/2/2023,New Years Day (observed)
1/26/2023,Australia Day
4/7/2023,Good Friday
4/10/2023,Easter Monday
4/25/2023,Anzac Day
6/12/2023,King's Birthday
10/2/2023,Labour Day
12/25/2023,Christmas Day
12/26/2023,Boxing Day
