date,description
12/27/2021,Christmas Day (observed)
12/28/2021,Boxing Day (observed)
1/3/2022,New Years Day (observed)
4/15/2022,Good Friday
4/18/2022,Easter Monday
5/2/2022,Early May Bank Holiday
6/2/2022,Spring Bank Holiday
6/3/2022,Platinum Jubilee Bank Holiday
8/29/2022,Summer Bank Holiday
9/19/2022,Bank Holiday for the State Funeral of Queen Elizabeth II
12/26/2022,Boxing Day
12/27/2022,Christmas Day (Observed)
1/2/2023,New Years Day (observed)
4/7/2023,Good Friday
4/10/2023,Easter Monday
5/1/2023,Early May Bank Holiday
5/8/2023,Bank holiday for the coronation of King Charles III
5/29/2023,Spring Bank Holiday
6/3/2023,Platinum Jubilee Bank Holiday
8/28/2023,Summer Bank Holiday
12/25/2023,Christmas Day
12/26/2023,Boxing Day
